CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"21524","NM04NW 3","Tiree, Dun Mor, Vaul","Broch (Iron Age), Inorganic Material (Glass)(Roman), Unidentified Pottery","104230","749270","ARGYLL AND BUTE","ARGYLL","TIREE","NM 0423 4927","http://canmore.org.uk/site/21524",
"23082","NM84SE 1","Lismore, Tirefour Castle","Broch (Iron Age)","186755","742912","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 86755 42912","http://canmore.org.uk/site/23082",
"39140","NR79NE 2","Ardifuir","Galleried Dun (Iron Age)","178936","696919","ARGYLL AND BUTE","ARGYLL","KILMARTIN","NR 78936 96919","http://canmore.org.uk/site/39140",
"21408","NL93NE 1","Tiree, Dun Hiader","Broch (Iron Age)(Possible), Dun (Period Unassigned)","96420","738870","ARGYLL AND BUTE","ARGYLL","TIREE","NL 9642 3887","http://canmore.org.uk/site/21408",
"21485","NM04NE 1","Tiree, Dun Mor A' Chaolais","Broch (Iron Age)","108320","747670","ARGYLL AND BUTE","ARGYLL","TIREE","NM 0832 4767","http://canmore.org.uk/site/21485",
"21807","NM34NE 8","Dun Aisgain, Mull","Broch (Iron Age), Dun (Period Unassigned)","137740","745240","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 3774 4524","http://canmore.org.uk/site/21807",
"21997","NM42NW 1","Burg, Dun Bhuirg, Mull","Broch (Iron Age)(Possible), Dun (Period Unassigned)","142170","726240","ARGYLL AND BUTE","ARGYLL","KILFINICHEN AND KILVICKEON","NM 4217 2624","http://canmore.org.uk/site/21997",
"22058","NM44SW 2","Dun Nan Gall, Mull","Broch (Iron Age)","143310","743130","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 4331 4313","http://canmore.org.uk/site/22058",
"22079","NM45NW 3","An Sean Dun, Mull","Broch (Iron Age)(Possible), Dun (Period Unassigned)","143100","756240","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 4310 5624","http://canmore.org.uk/site/22079",
"22259","NM54NE 4","An Sean Chaisteal, Ardnacross, Mull","Broch (Iron Age)","155100","749880","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 5510 4988","http://canmore.org.uk/site/22259",
"22470","NM65NW 2","Rahoy","Dun (Period Unassigned)","163300","756440","HIGHLAND","ARGYLL","MORVERN","NM 63300 56440","http://canmore.org.uk/site/22470",
